model,parameter_count,pollution_level,classification,latency_ms,called_target_tool,used_tool_result,anchored_on_context
qwen3:4b,4B,0.00,STC,10862,t,t,f
qwen3:4b,4B,0.00,STC,9195,t,t,f
qwen3:4b,4B,0.00,STC,8836,t,t,f
qwen3:4b,4B,0.00,STC,8629,t,t,f
qwen3:4b,4B,0.00,STC,8363,t,t,f
qwen3:4b,4B,0.00,STC,8379,t,t,f
qwen3:4b,4B,0.00,STC,8225,t,t,f
qwen3:4b,4B,0.00,STC,8101,t,t,f
qwen3:4b,4B,0.00,STC,8132,t,t,f
qwen3:4b,4B,0.00,STC,7966,t,t,f
qwen3:4b,4B,0.00,STC,8038,t,t,f
qwen3:4b,4B,0.00,STC,7948,t,t,f
qwen3:4b,4B,0.00,STC,7850,t,t,f
qwen3:4b,4B,0.00,STC,7883,t,t,f
qwen3:4b,4B,0.00,STC,8007,t,t,f
qwen3:4b,4B,0.00,STC,7860,t,t,f
qwen3:4b,4B,0.00,STC,7774,t,t,f
qwen3:4b,4B,0.00,STC,7758,t,t,f
qwen3:4b,4B,0.00,STC,7774,t,t,f
qwen3:4b,4B,0.00,STC,7740,t,t,f
qwen3:4b,4B,20.00,STC,23371,t,t,f
qwen3:4b,4B,20.00,STC,22575,t,t,f
qwen3:4b,4B,20.00,STC,22517,t,t,f
qwen3:4b,4B,20.00,STC,22609,t,t,f
qwen3:4b,4B,20.00,STC,22881,t,t,f
qwen3:4b,4B,20.00,STC,22713,t,t,f
qwen3:4b,4B,20.00,STC,22797,t,t,f
qwen3:4b,4B,20.00,STC,23369,t,t,f
qwen3:4b,4B,20.00,STC,23584,t,t,f
qwen3:4b,4B,20.00,STC,23982,t,t,f
qwen3:4b,4B,20.00,STC,24273,t,t,f
qwen3:4b,4B,20.00,STC,24378,t,t,f
qwen3:4b,4B,20.00,STC,24686,t,t,f
qwen3:4b,4B,20.00,STC,25028,t,t,f
qwen3:4b,4B,20.00,STC,24872,t,t,f
qwen3:4b,4B,20.00,STC,24689,t,t,f
qwen3:4b,4B,20.00,STC,24482,t,t,f
